1,708.4036,708.4036,708.4036,819.0216,888.7935,1537.5536,983.174,941.2269,960.708,1130.6897,1031.907
2,829.3524,829.3524,845.3045,959.4793,871.7137,997.4544,1044.877,1119.9853,1341.9047,1103.3533,889.3522
3,758.2295,758.2295,781.0541,866.4344,827.2772,857.758,931.0008,947.5278,1010.2579,923.8711,909.0433
4,851.259,764.0963,771.3152,852.2911,878.914,1113.301,929.5215,1178.9504,912.6937,1191.0961,1149.1484
5,671.1279,681.3047,671.3733,862.9865,785.1307,1035.2035,802.9528,904.586,989.3504,890.3637,851.9101
6,663.1406,663.1406,682.945,738.7844,857.4963,726.1366,826.3958,1178.5185,814.0449,883.9562,796.0767
7,807.82,793.2306,798.0115,826.2132,876.9625,887.4507,981.5936,1119.5116,832.6994,941.605,958.4476
8,829.1049,822.5995,827.965,846.9209,876.0916,962.5802,1004.3007,923.5164,954.9392,887.6405,917.5369
9,857.4355,840.0549,873.247,919.9782,1255.2681,912.541,1211.4791,1461.8266,962.1836,1066.2949,995.2715
10,824.7164,722.024,742.7818,958.8561,914.895,762.6091,909.6664,876.8673,1147.981,794.522,820.6012
